"Stock.ID","Stock","Ocean.Region2","lat","lon","na_count","n_years","yr_start","yr_end","ocean_region_lab"
174,"Central Chig-Odd","GOA",56.59639,-157.9933,0,24,1963,2009,"Gulf of Alaska"
171,"Chignik Bay-Even","GOA",56.38528,-158.2261,0,22,1962,2008,"Gulf of Alaska"
172,"Chignik Bay-Odd","GOA",56.38528,-158.2261,0,21,1963,2009,"Gulf of Alaska"
177,"W Chig-Even","GOA",56.06667,-158.6756,0,24,1962,2008,"Gulf of Alaska"
178,"W Chig-Odd","GOA",56.06667,-158.6756,0,24,1963,2009,"Gulf of Alaska"
179,"Perryville-Even","GOA",55.85417,-159.3314,0,24,1962,2008,"Gulf of Alaska"
180,"Perryville-Odd","GOA",55.85417,-159.3314,0,24,1963,2009,"Gulf of Alaska"
183,"SW-Unimak-Even","BS",54.5,-163.5,0,24,1962,2008,"Bering Sea"
184,"SW-Unimak-Odd","BS",54.5,-163.5,0,24,1963,2009,"Bering Sea"
185,"NW AKPen-Even","BS",54.982,-163.37,0,23,1962,2008,"Bering Sea"
186,"NW AKPen-Odd","BS",54.982,-163.37,0,24,1963,2009,"Bering Sea"
181,"SE-SC AKPen-Even","BS",55.5,-161,0,24,1962,2008,"Bering Sea"
182,"SE-SC AKPen-Odd","BS",55.5,-161,0,24,1963,2009,"Bering Sea"
187,"Nushagak-Even","BS",58.62222,-158.5911,0,23,1958,2002,"Bering Sea"
188,"Unalakleet-Even","BS",63.86944,-160.7878,0,13,1970,2002,"Bering Sea"
189,"Unalakleet-Odd","BS",63.86944,-160.7878,0,15,1973,2009,"Bering Sea"
190,"Nome-Even","BS",64.4828,-165.305,0,19,1972,2008,"Bering Sea"
191,"Nome-Odd","BS",64.4828,-165.305,0,20,1971,2009,"Bering Sea"
192,"Moses-Norton-Even","BS",64.64,-161.55,0,23,1964,2008,"Bering Sea"
193,"Moses-Norton-Odd","BS",64.64,-161.55,0,24,1963,2009,"Bering Sea"
